Net Square Meter,Number of Rooms,Floor Number,Heating Type,Credit Eligibility,Number of Bathrooms,Number of WC,Gross Square Meter,Building Age,Number of Floors in Building,Within Site,Balcony,house is furnished,Price,Location
75 m²,1+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,,80 m²,4,3,Hayır,,,2.200.000,İstanbul - Sultangazi - Sultançiftliği Mh.
78 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,5-10,4,Evet,,Boş,4.625.000,İstanbul - Arnavutköy - Mustafa Kemal Paşa Mh.
85 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,21 Ve Üzeri,4,Hayır,,,2.120.000,İstanbul - Bahçelievler - Zafer Mh.
120 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,135 m²,5-10,4,Hayır,,,4.870.000,İstanbul - Bahçelievler - Yenibosna Merkez Mh.
60 m²,1+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,72 m²,5-10,5,Hayır,,Boş,2.050.000,İstanbul - Bahçelievler - Soğanlı Mh.
75 m²,2+1,Çatı Katı,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,21 Ve Üzeri,5,Hayır,,,1.070.000,İstanbul - Bahçelievler - Zafer Mh.
120 m²,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,125 m²,21 Ve Üzeri,4,Hayır,,,1.980.000,İstanbul - Bahçelievler - Zafer Mh.
130 m²,3+1,2.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,150 m²,5-10,8,Evet,,Boş,8.850.000,İstanbul - Başakşehir - Kayabaşı Mh.
90 m²,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,100 m²,21 Ve Üzeri,6,Hayır,,Boş,5.500.000,İstanbul - Şişli - Fulya Mh.
90 m²,2+1,11.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,,110 m²,5-10,11,Evet,,Boş,5.920.000,İstanbul - Ümraniye - Necip Fazıl Mh.
80 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,90 m²,21 Ve Üzeri,4,Hayır,Var,Boş,2.650.000,İstanbul - Fatih - Silivrikapı Mh.
105 m²,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,1,117 m²,21 Ve Üzeri,5,Hayır,,Boş,6.500.000,İstanbul - Bakırköy - Zuhuratbaba Mh.
120 m²,3+1,10.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,150 m²,21 Ve Üzeri,10,Hayır,,,6.950.000,İstanbul - Kadıköy - Sahrayı Cedit Mh.
140 m²,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,2,,150 m²,4,3,Hayır,,Boş,7.650.000,İstanbul - Şile - Balibey Mh.
100 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,110 m²,5-10,4,Hayır,,,5.000.000,İstanbul - Güngören - Mareşal Çakmak Mh.
75 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,21 Ve Üzeri,4,Hayır,,Boş,5.000.000,İstanbul - Kadıköy - Merdivenköy Mh.
68 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,75 m²,1,5,Hayır,,Boş,2.375.000,İstanbul - Bahçelievler - Siyavuşpaşa Mh.
200 m²,5+1,5.Kat,Kombi Doğalgaz,Krediye Uygun Değil,2,,230 m²,21 Ve Üzeri,5,Hayır,,,4.500.000,İstanbul - Küçükçekmece - Cumhuriyet Mh.
110 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,139 m²,21 Ve Üzeri,4,Hayır,,,1.975.000,İstanbul - Küçükçekmece - İnönü Mh.
280 m²,6+1,,Kombi Doğalgaz,Krediye Uygun,3,,300 m²,5-10,2,Evet,Var,,24.000.000,İstanbul - Büyükçekmece - Bahçelievler Mh.
140 m²,3+1,,Kombi Doğalgaz,Krediye Uygun,3,,180 m²,5-10,2,Hayır,,Eşyalı,16.500.000,İstanbul - Şile - Çayırbaşı Mh.
180 m²,3+2,3.Kat,Kombi Doğalgaz,Krediye Uygun,3,,185 m²,5-10,3,Hayır,,Boş,3.350.000,İstanbul - Arnavutköy - Taşoluk Mh.
360 m²,8+4,,Kombi Doğalgaz,Krediye Uygun,4,,380 m²,21 Ve Üzeri,4,Hayır,Var,,50.000.000,İstanbul - Fatih - Balat Mh.
95 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,2,,115 m²,2,4,Hayır,Var,Boş,10.750.000,İstanbul - Bahçelievler - Bahçelievler Mh.
100 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,105 m²,11-15,4,Hayır,Var,Boş,3.100.000,İstanbul - Pendik - Güzelyalı Mh.
90 m²,2+1,Çatı Katı,Kombi Doğalgaz,Krediye Uygun Değil,2,,110 m²,21 Ve Üzeri,7,Hayır,Var,,1.500.000,İstanbul - Bahçelievler - Şirinevler Mh.
200 m²,4+2,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,4,220 m²,5-10,4,Hayır,Var,Boş,3.950.000,İstanbul - Pendik - Güzelyalı Mh.
170 m²,6+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,2,190 m²,11-15,4,Hayır,Var,Boş,5.200.000,İstanbul - Küçükçekmece - İnönü Mh.
340 m²,5+2,,Kombi Doğalgaz,Krediye Uygun,3,,400 m²,11-15,1,Hayır,,Boş,37.500.000,İstanbul - Çatalca - Çakıl Mh.
118 m²,3+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,1,,140 m²,21 Ve Üzeri,5,Hayır,,Boş,3.700.000,İstanbul - Kartal - Esentepe Mh.
120 m²,3+1,5.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,130 m²,21 Ve Üzeri,7,Hayır,,Boş,3.780.000,İstanbul - Maltepe - Zümrütevler Mh.
120 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,130 m²,21 Ve Üzeri,6,Evet,,,2.200.000,İstanbul - Esenler - Fatih Mh.
100 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,110 m²,11-15,5,Hayır,,Boş,1.450.000,İstanbul - Esenyurt - Hürriyet Mh.
100 m²,2+1,5.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,1,120 m²,16-20,5,Hayır,Var,,2.000.000,İstanbul - Gaziosmanpaşa - Karayolları Mh.
110 m²,3+1,7.Kat,Yerden Isıtma,Krediye Uygun,2,2,140 m²,5-10,10,Evet,Var,,8.650.000,İstanbul - Pendik - Kurtköy Mh.
115 m²,3+1,Bahçe Katı,Merkezi Doğalgaz,Krediye Uygun,2,,145 m²,21 Ve Üzeri,5,Hayır,,Eşyalı,6.500.000,İstanbul - Şişli - Merkez Mh.
115 m²,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,120 m²,11-15,4,Hayır,Var,Boş,1.900.000,İstanbul - Esenyurt - Süleymaniye Mh.
120 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,2,140 m²,21 Ve Üzeri,2,Hayır,Var,Boş,2.490.000,İstanbul - Kartal - Hürriyet Mh.
135 m²,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,2,,145 m²,11-15,5,Evet,Var,Boş,6.200.000,İstanbul - Büyükçekmece - Mimaroba Mh.
70 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,1,85 m²,4,5,Hayır,Yok,,2.290.000,İstanbul - Pendik - Kavakpınar Mh.
1 m²,2+1,2.Kat,Doğalgaz Sobalı,Krediye Uygun Değil,1,,95 m²,21 Ve Üzeri,3,Hayır,,,1.775.000,İstanbul - Bahçelievler - Çobançeşme Mh.
85 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,5-10,4,Evet,,Boş,4.575.000,İstanbul - Tuzla - İstasyon Mh.
85 m²,3+1,4.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,115 m²,4,12,Hayır,,,12.000.000,İstanbul - Kadıköy - Erenköy Mh.
85 m²,2+1,2.Kat,Doğalgaz Sobalı,Krediye Uygun,1,,90 m²,21 Ve Üzeri,5,Hayır,,Boş,2.650.000,İstanbul - Gaziosmanpaşa - Bağlarbaşı Mh.
125 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun Değil,2,,130 m²,16-20,4,Hayır,,Boş,2.950.000,İstanbul - Bahçelievler - Zafer Mh.
115 m²,3+1,1.Kat,Merkezi Doğalgaz,Krediye Uygun,2,,140 m²,21 Ve Üzeri,7,Hayır,Var,,7.450.000,İstanbul - Kadıköy - Feneryolu Mh.
190 m²,4+2,5.Kat,Merkezi Doğalgaz,Krediye Uygun,2,,220 m²,4,6,Hayır,Var,,5.950.000,İstanbul - Maltepe - Fındıklı Mh.
85 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,100 m²,11-15,3,Hayır,,,4.190.000,İstanbul - Zeytinburnu - Telsiz Mh.
60 m²,1+1,4.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,,70 m²,5-10,10,Evet,,,3.300.000,İstanbul - Sultanbeyli - Adil Mh.
140 m²,3+1,6.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,160 m²,5-10,30,Evet,,Eşyalı,3.450.000,İstanbul - Esenyurt - Sultaniye Mh.
110 m²,2+1,3.Kat,Kombi Doğalgaz,Bilinmiyor,1,,279 m²,11-15,4,Hayır,Var,,3.550.000,İstanbul - Arnavutköy - Arnavutköy Merkez Mh.
180 m²,4+1,2.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,220 m²,5-10,5,Evet,,Boş,12.750.000,İstanbul - Küçükçekmece - Atakent Mh.
87 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,100 m²,5-10,5,Hayır,,,3.750.000,İstanbul - Esenler - Tuna Mh.
90 m²,2+1,1.Kat,Merkezi Doğalgaz,Krediye Uygun,1,,95 m²,11-15,5,Hayır,,,2.850.000,İstanbul - Sultangazi - Cebeci Mh.
80 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,85 m²,5-10,5,Hayır,,Boş,1.850.000,İstanbul - Esenyurt - Yunus Emre Mh.
90 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,95 m²,21 Ve Üzeri,5,Hayır,,,2.100.000,İstanbul - Bahçelievler - Hürriyet Mh.
90 m²,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,5-10,4,Hayır,,,1.460.000,İstanbul - Bahçelievler - Zafer Mh.
150 m²,4+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,160 m²,21 Ve Üzeri,3,Hayır,,Boş,2.250.000,İstanbul - Sultanbeyli - Fatih Mh.
90 m²,2+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,2,,120 m²,3,9,Evet,,Boş,4.750.000,İstanbul - Pendik - Güllü Bağlar Mh.
75 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,2,,85 m²,11-15,5,Hayır,,Boş,3.800.000,İstanbul - Ümraniye - Site Mh.
75 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,85 m²,0 (Yeni),4,Hayır,,Boş,4.850.000,İstanbul - Ümraniye - Namık Kemal Mh.
75 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,85 m²,0 (Yeni),4,Hayır,,Boş,4.850.000,İstanbul - Ümraniye - Namık Kemal Mh.
120 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,135 m²,21 Ve Üzeri,4,Hayır,,,17.500.000,İstanbul - Sarıyer - Sarıyer Merkez Mh.
105 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,120 m²,21 Ve Üzeri,5,Hayır,Var,Boş,2.500.000,İstanbul - Bahçelievler - Siyavuşpaşa Mh.
135 m²,3+1,3.Kat,Merkezi Doğalgaz,Krediye Uygun,1,1,145 m²,21 Ve Üzeri,6,Evet,Var,,13.850.000,İstanbul - Bakırköy - Ataköy 3-4-11. Kısım Mh.
95 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,100 m²,21 Ve Üzeri,5,Hayır,Var,,1.545.000,İstanbul - Sultangazi - Cebeci Mh.
75 m²,2+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,80 m²,4,8,Hayır,Var,,3.250.000.000,İstanbul - Pendik - Güllü Bağlar Mh.
50 m²,1+1,Müstakil,Sobalı,Krediye Uygun Değil,1,1,170 m²,2,1,Hayır,Var,,2.680.000,İstanbul - Çatalca - Çanakça Mh.
105 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,2,,130 m²,4,5,Hayır,,Boş,5.300.000,İstanbul - Tuzla - İstasyon Mh.
135 m²,4+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,2,,190 m²,5-10,7,Hayır,,Boş,16.250.000,İstanbul - Kadıköy - Erenköy Mh.
80 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,110 m²,5-10,9,Evet,,,3.265.000,İstanbul - Pendik - Kavakpınar Mh.
180 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,200 m²,5-10,10,Evet,,,6.500.000,İstanbul - Pendik - Güllü Bağlar Mh.
78 m²,1+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,88 m²,11-15,4,Evet,Var,Boş,2.650.000,İstanbul - Bağcılar - 100. Yıl Mh.
120 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,2,,135 m²,11-15,15,Evet,,Boş,7.200.000,İstanbul - Ümraniye - Mehmet Akif Mh.
75 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,85 m²,5-10,5,Hayır,,Boş,4.300.000,İstanbul - Ümraniye - İstiklal Mh.
85 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,21 Ve Üzeri,5,Hayır,,Boş,2.975.000,İstanbul - Ümraniye - İstiklal Mh.
110 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,115 m²,11-15,5,Hayır,,Boş,3.760.000,İstanbul - Bağcılar - Güneşli Mh.
75 m²,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun Değil,1,1,82 m²,21 Ve Üzeri,6,Hayır,Var,Boş,1.550.000,İstanbul - Bahçelievler - Soğanlı Mh.
90 m²,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,21 Ve Üzeri,5,Hayır,,,5.250.000,İstanbul - Fatih - Karagümrük Mh.
80 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,21 Ve Üzeri,4,Hayır,,Boş,2.100.000,İstanbul - Güngören - Akıncılar Mh.
105 m²,3+1,9.Kat,Kombi Doğalgaz,Krediye Uygun,2,,135 m²,4,10,Hayır,,,14.750.000,İstanbul - Kadıköy - Sahrayı Cedit Mh.
350 m²,6+1,,Kombi Doğalgaz,Krediye Uygun,4,,400 m²,11-15,4,Evet,,,21.000.000,İstanbul - Başakşehir - Bahçeşehir 2. Kısım Mh.
75 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,80 m²,21 Ve Üzeri,4,Hayır,,Boş,3.980.000,İstanbul - Eyüpsultan - Düğmeciler Mh.
75 m²,2+1,Yüksek Giriş,Doğalgaz Sobalı,Krediye Uygun,1,,80 m²,21 Ve Üzeri,5,Hayır,,Boş,2.950.000,İstanbul - Eyüpsultan - Düğmeciler Mh.
55 m²,1+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,,65 m²,5-10,4,Hayır,,,2.625.000,İstanbul - Ataşehir - Fetih Mh.
95 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,110 m²,21 Ve Üzeri,4,Hayır,,Boş,2.650.000,İstanbul - Küçükçekmece - Cumhuriyet Mh.
65 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,80 m²,5-10,5,Hayır,,Boş,2.850.000,İstanbul - Küçükçekmece - Cumhuriyet Mh.
100 m²,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,120 m²,21 Ve Üzeri,4,Hayır,,Boş,2.690.000,İstanbul - Zeytinburnu - Sümer Mh.
95 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,115 m²,21 Ve Üzeri,4,Hayır,,Boş,3.850.000,İstanbul - Zeytinburnu - Yeşiltepe Mh.
70 m²,2+1,1.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,1,85 m²,1,8,Evet,Var,Boş,8.750.000,İstanbul - Kağıthane - Yahya Kemal Mh.
210 m²,5+2,Çatı Katı,Kombi Doğalgaz,Krediye Uygun,3,,250 m²,5-10,5,Hayır,,Boş,5.850.000,İstanbul - Silivri - Çanta Balaban Mh.
85 m²,2+1,2.Kat,Kombi Doğalgaz,Bilinmiyor,1,,90 m²,16-20,5,Hayır,Yok,,4.100.000,İstanbul - Şişli - Eskişehir Mh.
90 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,100 m²,5-10,4,Hayır,,Boş,3.300.000,İstanbul - Sancaktepe - Atatürk Mh.
110 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,1,115 m²,21 Ve Üzeri,5,Hayır,Yok,Boş,2.750.000,İstanbul - Bayrampaşa - Kartaltepe Mh.
130 m²,4+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,2,2,150 m²,11-15,2,Hayır,Var,Boş,4.500.000,İstanbul - Bahçelievler - Cumhuriyet Mh.
115 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,1,120 m²,21 Ve Üzeri,5,Hayır,Var,,1.730.000,İstanbul - Bağcılar - Yenigün Mh.
90 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,100 m²,16-20,4,Hayır,Var,,3.100.000,İstanbul - Bahçelievler - Cumhuriyet Mh.
100 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun Değil,1,1,120 m²,21 Ve Üzeri,4,Hayır,Var,Boş,2.745.000,İstanbul - Kartal - Soğanlık Yeni Mh.
80 m²,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,21 Ve Üzeri,3,Hayır,Yok,,1.860.000,İstanbul - Pendik - Esenler Mh.
100 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,115 m²,16-20,3,Hayır,Var,,3.550.000,İstanbul - Pendik - Kavakpınar Mh.
55 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,1,70 m²,5-10,4,Hayır,Var,,2.500.000,İstanbul - Pendik - Dumlupınar Mh.
95 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,2,110 m²,11-15,5,Hayır,Var,,3.250.000,İstanbul - Pendik - Esenler Mh.
85 m²,2+1,9.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,100 m²,3,9,Hayır,Var,,3.250.000,İstanbul - Pendik - Kavakpınar Mh.
110 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,130 m²,5-10,6,Evet,Var,Boş,4.295.000,İstanbul - Kartal - Yakacık Çarşı Mh.
85 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,95 m²,21 Ve Üzeri,4,Hayır,,Boş,2.150.000,İstanbul - Zeytinburnu - Sümer Mh.
95 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,110 m²,11-15,4,Hayır,,Boş,4.550.000,İstanbul - Zeytinburnu - Kazlıçeşme Mh.
75 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,90 m²,16-20,3,Hayır,Var,,2.075.000,İstanbul - Pendik - Kavakpınar Mh.
105 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,120 m²,21 Ve Üzeri,5,Hayır,Var,,2.300.000,İstanbul - Pendik - Çamçeşme Mh.
80 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,1,90 m²,3,4,Hayır,Yok,Boş,2.975.000,İstanbul - Pendik - Kaynarca Mh.
50 m²,2+1,3.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,1,70 m²,0 (Yeni),7,Hayır,Var,Boş,5.195.000,İstanbul - Kartal - Cumhuriyet Mh.
120 m²,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,2,135 m²,21 Ve Üzeri,4,Hayır,Yok,,2.850.000,İstanbul - Pendik - Fevzi Çakmak Mh.
100 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,115 m²,16-20,3,Hayır,Var,,3.550.000,İstanbul - Pendik - Kavakpınar Mh.
200 m²,4+2,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun,2,2,220 m²,11-15,4,Hayır,Var,,5.250.000,İstanbul - Pendik - Şeyhli Mh.
160 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,1,190 m²,21 Ve Üzeri,3,Hayır,Var,Boş,2.895.000,İstanbul - Kartal - Soğanlık Yeni Mh.
100 m²,3+1,5.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,2,120 m²,21 Ve Üzeri,10,Evet,Var,Boş,3.900.000,İstanbul - Kartal - Yakacık Yeni Mh.
85 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,21 Ve Üzeri,5,Hayır,,Boş,2.349.000,İstanbul - Sultangazi - Cebeci Mh.
95 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,110 m²,4,10,Hayır,Var,,3.850.000,İstanbul - Pendik - Kavakpınar Mh.
75 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,2,85 m²,5-10,5,Hayır,Yok,Boş,1.600.000,İstanbul - Pendik - Orhangazi Mh.
120 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,2,135 m²,5-10,4,Hayır,Var,,3.495.000,İstanbul - Pendik - Fatih Mh.
70 m²,2+1,6.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,,85 m²,5-10,11,Evet,Var,,4.590.000,İstanbul - Pendik - Çınardere Mh.
85 m²,2+1,9.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,1,95 m²,3,9,Hayır,Var,Boş,3.395.000,İstanbul - Pendik - Sülüntepe Mh.
110 m²,3+1,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun,1,1,125 m²,5-10,8,Hayır,,,4.550.000,İstanbul - Pendik - Sülüntepe Mh.
80 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,95 m²,5-10,7,Hayır,Var,,3.550.000,İstanbul - Pendik - Şeyhli Mh.
100 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,115 m²,4,7,Hayır,Var,,3.950.000,İstanbul - Pendik - Kavakpınar Mh.
75 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,80 m²,5-10,4,Hayır,,,2.800.000,İstanbul - Bahçelievler - Yenibosna Merkez Mh.
125 m²,3+1,4.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,156 m²,5-10,10,Evet,,Boş,11.900.000,İstanbul - Küçükçekmece - Atakent Mh.
85 m²,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,21 Ve Üzeri,5,Hayır,,,3.000.000,İstanbul - Beyoğlu - Sururi Mehmet Efendi Mh.
220 m²,4+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,,225 m²,5-10,4,Hayır,,,8.000.000,İstanbul - Şişli - Paşa Mh.
110 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,2,130 m²,21 Ve Üzeri,2,Hayır,Var,Boş,2.385.000,İstanbul - Kartal - Soğanlık Yeni Mh.
415 m²,7+2,,Kombi Doğalgaz,Krediye Uygun,4,,600 m²,16-20,4,Evet,,,17.900.000,İstanbul - Büyükçekmece - Yenimahalle Mh.
1 m²,2+1,2.Kat,Doğalgaz Sobalı,Krediye Uygun Değil,1,,95 m²,21 Ve Üzeri,3,Hayır,,,1.775.000,İstanbul - Bahçelievler - Yenibosna Merkez Mh.
156 m²,4+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,,220 m²,11-15,4,Hayır,,Boş,21.500.000,İstanbul - Bahçelievler - Bahçelievler Mh.
105 m²,3+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,2,2,125 m²,5-10,8,Hayır,Var,Boş,4.825.000,İstanbul - Kartal - Yakacık Çarşı Mh.
80 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,90 m²,11-15,3,Hayır,,Boş,2.900.000,İstanbul - Beylikdüzü - Yakuplu Mh.
70 m²,2+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,90 m²,5-10,7,Hayır,Var,Boş,4.435.000,İstanbul - Kartal - Cumhuriyet Mh.
80 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,85 m²,21 Ve Üzeri,5,Hayır,,,2.120.000,İstanbul - Bahçelievler - Zafer Mh.
60 m²,1+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun Değil,1,,65 m²,21 Ve Üzeri,4,Hayır,,Boş,1.270.000,İstanbul - Bahçelievler - Zafer Mh.
60 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,1,80 m²,21 Ve Üzeri,4,Hayır,Yok,Boş,2.249.000,İstanbul - Kartal - Gümüşpınar Mh.
80 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,100 m²,11-15,3,Hayır,Var,Boş,3.300.000,İstanbul - Kartal - Yakacık Çarşı Mh.
65 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,1,85 m²,21 Ve Üzeri,5,Hayır,Var,Boş,2.075.000,İstanbul - Kartal - Gümüşpınar Mh.
115 m²,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,135 m²,5-10,5,Hayır,Yok,Boş,4.595.000,İstanbul - Kartal - Soğanlık Yeni Mh.
140 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,160 m²,21 Ve Üzeri,5,Hayır,Var,Boş,3.650.000,İstanbul - Bahçelievler - Soğanlı Mh.
100 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,2,120 m²,21 Ve Üzeri,5,Hayır,Var,Boş,2.275.000,İstanbul - Kartal - Gümüşpınar Mh.
180 m²,3+2,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,,190 m²,5-10,4,Hayır,,Boş,5.500.000,İstanbul - Avcılar - Cihangir Mh.
85 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,21 Ve Üzeri,5,Hayır,,,1.870.000,İstanbul - Avcılar - Gümüşpala Mh.
85 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,21 Ve Üzeri,5,Hayır,,,1.870.000,İstanbul - Avcılar - Gümüşpala Mh.
120 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,130 m²,21 Ve Üzeri,5,Hayır,,,3.100.000,İstanbul - Avcılar - Cihangir Mh.
